Profile,Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Position,Instagram,Twitter
,Bom,Park Bom,박봄,봄,1984-03-24,2NE1,South Korea,,0,0,,,,F,,https:/www.instagram.com/haroobommi,
https://dbkpop.com/idol/jihyo/,Jihyo,Park Jisoo,박지수,지효,1997-02-01,Twice,South Korea,,162,0,Guri,,,F,"Leader, Main Vocal",,
https://dbkpop.com/idol/sana/,Sana,Minatozaki Sana,미나토자키 사나,사나,1996-12-29,Twice,Japan,,168,0,Osaka,,,F,,,
https://dbkpop.com/idol/dahyun/,Dahyun,Kim Dahyun,김다현,다현,1998-05-28,Twice,South Korea,,165,0,Seongnam,,,F,,,
https://dbkpop.com/idol/tzuyu/,Tzuyu,Chou Tzuyu,저우쯔위,쯔위,1999-06-14,Twice,Taiwan,,169,0,Tainan,,,F,,,
,IU,Lee Jieun,이지은,아이유,1993-05-16,,South Korea,,162,0,Seoul,,,F,,https:/www.instagram.com/dlwlrma,
https://dbkpop.com/idol/jennie-blackpink/,Jennie,Kim Jennie,김제니,제니,1996-01-16,BLACKPINK,South Korea,,163,50,Anyang,,,F,,,
https://dbkpop.com/idol/lisa-blackpink/,Lisa,Pranpriya Manoban,쁘란쁘리야 마노반,리사,1997-03-27,BLACKPINK,Thailand,,170,46,Bangkok,,,F,,,
https://dbkpop.com/idol/v-bts/,V,Kim Taehyung,김태형,뷔,1995-12-30,BTS,South Korea,,179,62,Daegu,,,M,,,
https://dbkpop.com/idol/jungkook-bts/,Jungkook,Jeon Jungkook,전정국,정국,1997-09-01,BTS,South Korea,,178,66,Busan,,,M,,,
